GTS_TRAINING_NAME,avg_self_rating,avg_chakuri_rating,avg_external_rating,n_users
SQL for Beginners,3.15,3.03,2.51,62
Web Development Essentials,3.1222222222222222,3.1555555555555554,3.088888888888889,53
Cloud Computing with AWS,3.1041666666666665,3.1979166666666665,2.9479166666666665,53
Full Stack Web Development,2.973333333333333,3.2666666666666666,2.7733333333333334,49
Cybersecurity Foundations,2.96,3.008,3.128,72
Communication & Soft Skills,2.9473684210526314,3.026315789473684,3.1052631578947367,70
Data Science Bootcamp,2.9176470588235293,3.2,2.823529411764706,55
Python for AI & ML,2.9026548672566372,3.0353982300884956,3.0,72
Advanced Excel for Analysts,2.9019607843137254,3.0784313725490198,2.980392156862745,64
Digital Marketing Fundamentals,2.6875,2.90625,3.0104166666666665,61
